目标模块/业务域,用例名称,测试协议,测试类型,测试输入,测试工具,测试步骤,预期结果,自动化等级,描述,执行器类型,脚本路径,命令模板,参数模板,超时秒数
ECU,CAN总线DOS攻击,CAN,Manual,CAN报文发送,CAN工具,"1)发送高频CAN报文
2)观察总线状态",设备应有DOS防护机制,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,,,,,
ECU,CAN报文模糊测试,CAN,Manual,异常CAN报文,CAN Fuzz工具,"1)发送随机/异常CAN报文
2)监控系统状态",设备应能正常处理异常报文,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,,,,,
ECU,CAN诊断ID扫描,CAN,Automated,诊断ID列表,ZCANPRO,"1)扫描所有诊断ID
2)记录响应",应只返回授权的ID响应,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断11ECU复位,CAN,Manual,诊断服务0x11,ZCANPRO,"1)发送11复位指令
2)观察响应",行驶条件下11复位应被拒绝,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级,,,,,
ECU,CAN诊断14清除故障码,CAN,Automated,诊断服务0x14,ZCANPRO,"1)发送14清除DTC
2)验证清除结果",DTC清除应按权限执行,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断27安全访问,CAN,Manual,诊断服务0x27,ZCANPRO,"1)发送27请求种子
2)验证种子长度>=4
3)测试随机性",种子应>=4字节且不可预测,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
ECU,CAN诊断27错误次数测试,CAN,Manual,诊断服务0x27,ZCANPRO,"1)连续发送错误密钥
2)检查锁定机制",错误次数达到阈值应触发锁定,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
ECU,CAN诊断28通信控制,CAN,Manual,诊断服务0x28,ZCANPRO,"1)发送28通信控制
2)观察通信状态",通信控制应按权限执行,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
ECU,CAN诊断2E写数据,CAN,Automated,诊断服务0x2E,ZCANPRO,"1)发送2E写入DID
2)验证写入结果",未鉴权2E写入应失败,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断2F控制IO,CAN,Manual,诊断服务0x2F,ZCANPRO,"1)发送2F控制指令
2)观察IO状态",IO控制应按权限执行,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
ECU,CAN诊断31例行控制,CAN,Automated,诊断服务0x31,ZCANPRO,"1)发送31例行测试
2)验证结果",未授权例行测试应被拒绝,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断85控制DTC,CAN,Automated,诊断服务0x85,ZCANPRO,"1)发送85DTC控制
2)验证结果",DTC控制应按权限执行,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断DID数据篡改,CAN,Automated,诊断服务0x22/0x2E,ZCANPRO,"1)读取DID
2)篡改DID
3)再次读取验证",未鉴权篡改后读取结果应不变,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断27种子长度测试,CAN,Automated,诊断服务0x27,ZCANPRO,"1)发送27请求种子
2)解析种子字段长度",27服务返回的种子长度应>=4字节,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN诊断27种子随机性测试,CAN,Automated,诊断服务0x27,ZCANPRO,"1)连续多次发送27请求
2)检查种子是否重复",多次请求的种子不应出现可预测规律,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
ECU,CAN通道转发测试,CAN,Manual,双通道CAN,ZCANPRO,"1)连接两个CAN通道
2)发送报文并监听转发",禁止转发的CAN报文不应跨通道接收,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
ECU,离线升级ECU刷写,CAN,Manual,离线升级包,刷写工具,"1)准备离线升级包
2)执行刷写",设备应校验升级包合法性,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级,,,,,
IVI,BLE通信加密测试,BLE,Manual,BLE通信数据,nRF Sniffer/Wireshark,"1)抓取BLE通信
2)检查数据是否加密",BLE业务数据应经过链路层加密,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 测试工具偏分析型，不是稳定执行器,,,,,
IVI,经典蓝牙配对模式,BLE,Manual,经典蓝牙,nRF Connect,"1)检查经典蓝牙配对模式
2)测试是否可随意配对",配对模式应受控,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI,经典蓝牙已知漏洞,BLE,Manual,经典蓝牙,漏洞扫描工具,"1)检查经典蓝牙协议版本
2)查询CVE数据库",应无已知未修补漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
IVI,经典蓝牙协议栈模糊,BLE,Manual,异常BLE数据,nRF Sniffer,"1)发送异常BLE协议数据
2)监控系统状态",异常数据应被丢弃,D,原始等级: A；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
IVI,经典蓝牙明文传输,BLE,Manual,经典蓝牙,Wireshark,"1)抓取经典蓝牙通信
2)检查是否明文",通信应加密传输,D,原始等级: A；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
IVI,经典蓝牙拒绝服务,BLE,Manual,经典蓝牙,BLE工具,"1)发送高频BLE数据
2)观察系统状态",设备应有DoS防护,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI,低功耗蓝牙配对,BLE,Manual,低功耗蓝牙,nRF Connect,"1)检查BLE配对模式
2)测试配对方式",配对应有认证和MITM防护,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI,低功耗蓝牙已知漏洞,BLE,Manual,低功耗蓝牙,漏洞扫描工具,"1)检查BLE协议版本
2)查询CVE数据库",应无已知未修补漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
IVI,低功耗蓝牙协议模糊,BLE,Manual,异常BLE数据,nRF Sniffer,"1)发送异常BLE数据
2)监控系统状态",异常数据应被丢弃,D,原始等级: A；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
IVI,BLE认证安全测试,BLE,Manual,BLE配对过程,nRF Connect,"1)抓取BLE配对数据
2)检查认证方式",BLE配对应具备认证与MITM防护,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
IVI,BLE重放测试,BLE,Manual,BLE控车数据,nRF Connect,"1)录制BLE控车数据
2)重放数据",重放不应再次触发控车,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
IVI,BLE模糊测试,BLE,Manual,异常BLE数据,nRF Sniffer,"1)发送异常BLE数据
2)监控系统资源",异常数据应被丢弃,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 测试工具偏分析型，不是稳定执行器,,,,,
IVI,SSH访问测试,Ethernet,Automated,SSH接入方式,ssh客户端,"1)测试SSH端口可达
2)尝试登录
3)检查认证方式",必须使用有效认证（证书/密钥/合规密码）,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,ADB访问测试,Ethernet,Automated,ADB接入方式,ADB工具,"1)测试ADB连接
2)尝试adb shell
3)检查鉴权",未授权ADB shell应不可用,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,Telnet访问测试,Ethernet,Automated,Telnet接入方式,Telnet工具,"1)测试Telnet端口可达
2)尝试连接
3)检查鉴权",Telnet服务应不可用,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,USB接口测试,Ethernet,Manual,USB连接,adb,"1)连接USB
2)检查ADB是否开启
3)验证授权",未授权USB不应开放ADB访问,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,ADB Push测试,Ethernet,Automated,ADB文件上传,ADB,"1)连接设备
2)尝试adb push上传
3)检查结果",未授权不应允许adb push上传,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,ADB pull测试,Ethernet,Automated,ADB文件下载,ADB,"1)连接设备
2)尝试adb pull下载
3)检查结果",未授权不应允许adb pull下载,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,FTP访问测试,Ethernet,Automated,FTP接入方式,FTP工具,"1)测试FTP端口
2)尝试匿名登录
3)检查访问控制",不能通过FTP匿名/弱口令获取文件,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,OTA升级日志,Linux,Automated,OTA升级日志,ADB/SSH,"1)查看OTA升级日志
2)检查敏感信息",OTA日志不应记录密钥、token等敏感信息,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,系统日志测试,Linux,Automated,系统日志目录,ADB/SSH,"1)查看系统日志
2)检查是否记录敏感信息
3)检查权限",系统日志不应记录敏感信息，权限应受控,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,python,,,,300
IVI,Dmesg日志测试,Linux,Automated,内核日志,ADB/SSH,"1)执行dmesg
2)检查普通shell是否可读
3)检查dmesg_restrict",普通shell不应可读取内核日志,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,APK logcat日志,Linux,Automated,APP运行日志,ADB,"1)运行APP
2)执行logcat
3)检查敏感信息",日志中不应打印敏感信息,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,控车日志测试,Linux,Automated,控车日志,ADB/SSH,"1)查看控车日志
2)检查敏感信息",控车日志不应记录敏感信息,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,系统提权测试,Linux,Automated,待测系统,ADB/SSH,"1)登录系统
2)执行su尝试提权
3)验证结果",shell用户不应无鉴权直接su提权,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,系统版本测试,Linux,Automated,待测系统,ADB/SSH,"1)执行getprop ro.build.type
2)检查构建类型",量产系统构建类型应为user,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,SELinux策略测试,Linux,Automated,待测系统,ADB,"1)执行getenforce
2)检查SELinux模式",SELinux应为Enforcing,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,iptables防火墙检测,Linux,Automated,待测系统,ADB/SSH,"1)执行iptables -S
2)检查默认策略和规则",应有明确的防火墙控制策略,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,python,,,,300
IVI,VLAN划分测试,Linux,Manual,网络接口,ADB,"1)执行ifconfig
2)检查VLAN子接口",网络接口应存在VLAN/隔离划分,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,ASLR测试,Linux,Automated,待测系统,ADB/SSH,"1)检查randomize_va_space
2)验证ASLR启用",ASLR应启用（值不为0）,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,ELF编译加固测试,Linux,Manual,可执行程序,checksec,"1)对关键程序执行checksec
2)检查加固项",关键程序应开启NX/PIE/RELRO/Canary,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,程序去符号测试,Linux,Manual,可执行程序,IDA,"1)用IDA打开程序
2)检查符号信息",关键ELF不应保留调试符号,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,APK混淆加固测试,Linux,Manual,APK文件,jadx,"1)反编译APK
2)检查是否可直接查看业务逻辑",APK应有混淆/加固,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI,未授权应用安装测试,Linux,Automated,任意APK,ADB,"1)尝试adb install第三方APK
2)检查是否被拦截",未授权APK应无法成功安装,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,APK反调试测试,Linux,Manual,APK文件,Frida,"1)安装APK
2)执行Frida附加
3)观察应用行为",应用应阻止调试或退出,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,so文件符号信息,Linux,Manual,APK中的so,IDA,"1)提取so文件
2)用IDA打开
3)检查符号",so文件应进行符号剥离,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,APK组件安全测试,Linux,Manual,APK文件,ADB,"1)反编译查看Manifest
2)检查组件导出
3)尝试调用",敏感组件不应对外导出,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,APK logcat日志测试,Linux,Manual,APK文件,ADB,"1)运行APP
2)执行logcat
3)检查敏感信息",日志中不应打印敏感信息,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI,最小权限测试,Linux,Automated,待测系统,ADB/SSH,"1)检查文件权限
2)检查服务权限",应遵循最小权限原则,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,强制访问控制测试,Linux,Automated,待测系统,ADB/SSH,"1)检查SELinux/AppArmor状态
2)验证策略",强制访问控制应启用,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,系统证书保护测试,Linux,Automated,待测系统,ADB/SSH,"1)检索证书/密钥文件
2)检查路径和权限
3)验证是否有明文私钥",系统中不应存在业务私钥明文存储或可被非授权读取,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,GPS信息保护测试,Linux,Automated,系统日志,ADB/SSH,"1)查看系统日志
2)检查是否打印GPS信息",系统日志不应打印经纬度等定位信息,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,VIN信息保护测试,Linux,Automated,待测系统,ADB/SSH,"1)查找VIN文件
2)检查权限
3)尝试修改",VIN等关键标识数据不应被非授权修改,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,OTA升级包保护测试,Linux,Automated,待测系统,ADB/SSH,"1)检查OTA目录
2)检查是否有残留升级包",升级完成后不应残留可被直接获取的升级包,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI,代码保护测试,Linux,Automated,待测系统,ADB/SSH,"1)检查系统目录
2)查找调试代码和临时脚本
3)使用grep检查敏感字符串",量产版本不应存在调试代码、测试程序,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
T-BOX,车云TLS通信测试,TLS/MQTT,Manual,车云通信数据,tcpdump/Wireshark,"1)抓取车云通信
2)检查TLS版本和加密",车云通信应使用TLS 1.2及以上,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
T-BOX,车云MQTT通信测试,TLS/MQTT,Manual,车云通信数据,tcpdump/Wireshark,"1)抓取MQTT通信
2)检查是否运行在TLS之上",MQTT应运行在TLS之上，不应明文传输,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
T-BOX,远程控制指令加密测试,TLS/MQTT,Manual,远程控车应用,BurpSuite,"1)配置代理抓包
2)触发控车指令
3)检查内容是否加密",控车请求内容不应被直接明文读取,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
T-BOX,远程控制指令重放测试,TLS/MQTT,Manual,远程控车应用,BurpSuite,"1)抓取控车指令
2)重放数据包
3)观察服务端响应",控车请求重放应被服务端拒绝,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
T-BOX,远程控制指令越权测试,TLS/MQTT,Automated,远程控车应用,BurpSuite,"1)抓取控车请求
2)替换token重放
3)观察响应",替换token/越权请求应被拒绝,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI/T-BOX,jtag接口连接调试,Linux,Manual,JTAG设备,J-Link/ST-Link,"1)连接调试器尝试识别目标
2)验证是否被锁定",未授权情况下不能通过JTAG识别目标,B,原始等级: D；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 建议重新定义自动化等级,,,,,
IVI/T-BOX,调试接口暴露测试,Linux,Manual,UART/JTAG/USB,调试工具,"1)检查调试接口是否存在
2)测试接口可访问性",调试接口应受保护,B,原始等级: D；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 建议重新定义自动化等级,,,,,
IVI/T-BOX,芯片已知漏洞测试,Linux,Manual,芯片型号,CVE数据库,"1)查询芯片CVE
2)验证是否有未修补漏洞",应无已知未修补漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
IVI/T-BOX,固件逆向,Linux,Manual,固件文件,逆向工具,"1)获取固件
2)进行静态分析",固件应有保护机制,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI/T-BOX,登陆身份认证,Linux,Manual,登录接口,登录工具,"1)测试登录认证机制
2)尝试绕过",应有有效的身份认证,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI/T-BOX,登陆弱口令,Linux,Automated,登录接口,弱口令字典,1)使用常见弱口令尝试登录,应拒绝弱口令登录,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI/T-BOX,账户锁定,Linux,Automated,登录接口,登录工具,"1)触发多次失败登录
2)检查账户锁定",应有账户锁定机制,A,原始等级: B；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,python,,,,300
IVI/T-BOX,通信通道协议安全,Linux,Manual,网络通信,协议分析工具,"1)检查通信协议
2)验证加密",通信应使用安全协议,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI/T-BOX,Wi-Fi热点弱密码检测,Linux,Manual,WiFi热点,WiFi工具,"1)测试WiFi密码强度
2)尝试弱口令",使用弱口令/默认口令不能成功接入,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
IVI/T-BOX,mqtt攻击测试,Linux,Manual,MQTT通信,MQTT工具,"1)注入恶意MQTT消息
2)观察结果",系统应能检测和防御MQTT攻击,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
IVI/T-BOX,开放端口扫描,Linux,Automated,网络端口,nmap,"1)扫描开放端口
2)识别服务",应只开放必要端口,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
IVI/T-BOX,系统版本已知漏洞,Linux,Manual,系统版本,漏洞扫描工具,"1)扫描系统漏洞
2)检查CVE",应无已知未修补漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
IVI/T-BOX,系统漏洞扫描,Linux,Manual,待测系统,漏洞扫描工具,"1)执行漏洞扫描
2)分析结果",应无高危漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
